ENTRIESn_hourly,UNIT
0,R001
217,R001
890,R001
2451,R001
4400,R001
3372,R001
804,R001
175,R001
6909,R001
4857,R001
7030,R001
9192,R001
1109,R001
163,R001
6087,R001
5848,R001
846,R001
6660,R001
9815,R001
1005,R001
191,R001
6335,R001
3574,R001
7476,R001
10673,R001
2652,R001
1050,R001
1104,R001
5424,R001
5205,R001
8700,R001
9095,R001
1495,R001
228,R001
1458,R001
3344,R001
5336,R001
3614,R001
1277,R001
252,R001
717,R001
2305,R001
4136,R001
2829,R001
916,R001
178,R001
6810,R001
4859,R001
7299,R001
9245,R001
1226,R001
144,R001
6562,R001
5357,R001
0,R001
1,R001
361,R001
1254,R001
0,R001
31213,R001
8256,R001
7578,R001
220,R001
6693,R001
5036,R001
1279,R001
48,R001
23,R001
4983,R001
10846,R001
2022,R001
1892,R001
6330,R001
3933,R001
6635,R001
11004,R001
2931,R001
316,R001
1963,R001
3859,R001
7484,R001
4775,R001
1288,R001
176,R001
676,R001
2131,R001
3198,R001
2130,R001
2104,R001
1316,R001
6669,R001
4882,R001
6630,R001
9177,R001
1744,R001
2184,R001
6317,R001
5315,R001
7718,R001
11212,R001
1676,R001
234,R001
6555,R001
5459,R001
8432,R001
9838,R001
1469,R001
380,R001
6300,R001
4938,R001
11201,R001
6993,R001
1798,R001
203,R001
800,R001
2393,R001
4524,R001
4264,R001
1262,R001
153,R001
505,R001
1858,R001
