ENTRIESn_hourly,UNIT
1132,R001
164,R001
647,R001
6468,R001
4683,R001
6243,R001
8448,R001
1851,R001
296,R001
1229,R001
2788,R001
4702,R001
3246,R001
1264,R001
239,R002
6705,R002
5101,R002
7324,R002
9026,R002
1055,R002
192,R002
767,R002
6423,R002
4443,R002
7074,R002
9601,R003
1247,R003
184,R003
6842,R003
4979,R003
8514,R003
8958,R003
1250,R003
210,R003
6661,R003
4972,R003
8290,R003
10083,R003
1471,R004
206,R004
6338,R004
5643,R004
8075,R004
7098,R004
2831,R004
194,R004
977,R004
3047,R004
4469,R004
3495,R004
608,R004
118,R004
5562,R004
3267,R004
7534,R004
10012,R004
1234,R004
165,R004
895,R004
2335,R004
6160,R004
5539,R004
